PASS	A1	A1 镜像构建成功（exit 0）-- 日志 01-build.log
PASS	A1b	A1b 镜像体积 86 MiB 落在合理区间 [40,300] MiB
PASS	A2	A2 /app/ehome-server 存在、可执行、且为 ELF（magic=7f454c46, 48061152 bytes）
PASS	A3	A3 /app/static/dist/index.html 存在且非空（1942 bytes）
PASS	A5	A5 /app/firmwares 目录存在
PASS	G1a	G1a 引用路径解析安全：0 条含引号/空白（解析结果可信）
PASS	G1b	G1b 分母守卫：解析到 10 条待查静态资源引用（期望 >= 2）
PASS	G1c	G1c 分母守卫：镜像 /app 内文件数 101（期望 >= 5）
PASS	A4	A4 index.html 引用的 10 个静态资源在镜像内逐个存在（FOUND=10 MISSING=0）
PASS	G1d	G1d 分母守卫：引用的 /assets/*.js bundle 数 7（期望 >= 1）-- 确是真前端产物
PASS	A6a	A6a 镜像内无 .env / .env.* 文件
PASS	A6b	A6b 镜像内无 *.pem / *.key / id_rsa* / .npmrc / .pgpass 等密钥文件
PASS	A6c	A6c 无密钥类内容（PEM 头）且 Config.Env 无 SECRET/PASSWORD/TOKEN 键（Env 共 1 项，检查非空转）
PASS	A7	A7 镜像内 ehome-server 含 'Latest value cache warmed up' 格式串（启动回填已接线进产物）
PASS	G2	G2 扫描器正控通过：植入的 canary 被抓到（命中 1 行）-- 「扫不到密钥」可信
PASS	G3	G3 扫描器负控通过：随机不存在串 0 命中 -- 「命中」这个信号可信
TOTAL	ehome-bb-ehome:local	PASS=16 FAIL=0
